instance_id,rand_mean,rand_med,rand_max
9703,1313666.8194882984,1313666.8310975358,1313669.9837512104
23348,431686.0894658017,431686.1012444308,431689.302171444
25135,2010315.0378994113,2010315.0499033884,2010318.3093207562
15814,1783361.3677765378,1783361.3821760966,1783365.2919685498
1650,1722118.5395669641,1722118.5518088746,1722121.8759358854
14991,1256463.5068044395,1256463.5198914926,1256467.0737423638
19600,1571024.5173118801,1571024.5296799138,1571027.888124564
18392,6961200.662643427,6961200.67391276,6961203.733381392
4619,6382420.971361527,6382420.982492255,6382424.004354416
361,1434231.621852263,1434231.6337931273,1434234.876371943
25262,768119.7379965821,768119.7492879953,768122.8164728679
17550,2003417.526252637,2003417.539642847,2003421.1753598822
9438,432820.82806675235,432820.84358198725,432825.058601061
18685,6207376.371548871,6207376.382715926,6207379.414446138
10085,1288139.9340773765,1288139.945200924,1288142.9660377323
3138,3284847.9015716105,3284847.9131368715,3284851.053177447
24429,3306716.0107528847,3306716.0249008276,3306719.866029182
22437,126996.64709953588,126996.66043694821,127000.29236112953
17837,1615529.3847695673,1615529.400269236,1615533.6087640368
23962,3562581.7062681904,3562581.718686493,3562585.090258437
19154,1768662.136712878,1768662.1478738803,1768665.178563441
3948,1084190.7608103068,1084190.776329609,1084194.9905662783
16194,962375.4961147945,962375.5112700618,962379.6268548555
22153,1013345.7530316502,1013345.7662190571,1013349.3475843256
9607,14296997.304654304,14296997.31589251,14297000.366801482
1581,3975277.216378438,3975277.2314656014,3975281.327482492
1661,2992200.9154764223,2992200.930737001,2992205.073942109
16968,1206051.2221398263,1206051.2376626113,1206055.4527178572
19968,14645852.064218262,14645852.075338492,14645855.094218655
13646,406841.6984013025,406841.7133766328,406845.7820752794
12374,757003.8590554111,757003.8710676222,757007.1339290475
5745,3620344.8821357964,3620344.8942618025,3620348.186480373
2428,4888102.972064402,4888102.984972525,4888106.489400794
22615,591737.4873654465,591737.5007433277,591741.1348150169
17073,5406480.413789618,5406480.425518669,5406483.60984527
23154,815806.6835162434,815806.6989926067,815810.901986898
26696,815723.6507509069,815723.6647556138,815727.4683033807
22828,4854966.539227527,4854966.55050163,4854969.611358473
2677,1783676.6585882765,1783676.6703663575,1783679.868556544
2112,3516808.455637702,3516808.4666464375,3516811.4555826643
1475,791272.3624047692,791272.3765154292,791276.2088751618
22667,2519761.5922123687,2519761.603797269,2519764.7493056245
14989,1808566.117712249,1808566.1300608795,1808569.4831166822
2810,19514041.313741833,19514041.324896507,19514044.35310206
8041,8980714.75085209,8980714.762294546,8980717.86871275
5531,2803077.565152214,2803077.5773615306,2803080.8923134888
17152,4103424.520194751,4103424.5314017786,4103427.574105897
9016,1686179.2944075628,1686179.309707569,1686183.4639693252
22508,672985.4653891594,672985.4788200527,672989.1269889392
6665,10945354.316820102,10945354.328148264,10945357.403508853
243,3328851.989887476,3328852.0012050713,3328855.0740085403
25831,7288551.6591322385,7288551.670802805,7288554.839182352
20955,858179.8845833376,858179.8998156551,858184.0364870012
10110,1868015.638308145,1868015.6532341947,1868019.7059069613
13463,182217.67749539763,182217.6909781579,182221.3589272007
18226,15356001.696740529,15356001.708307458,15356004.848446816
102,17869685.775526747,17869685.787167236,17869688.94726142
21357,17838310.801497765,17838310.812507667,17838313.801419865
21312,170418.28821552463,170418.30163425385,170421.95275350055
21810,1096741.485021225,1096741.4967869893,1096744.6921515684
24792,1133050.1774733409,1133050.1927473375,1133054.3403448917
24223,980160.806762767,980160.8223245451,980165.0482234751
9134,334690.45048738504,334690.4617978823,334693.53666803887
20823,7373242.253946321,7373242.265048553,7373245.27914363
19984,1163094.7063414913,1163094.7191371159,1163098.1939738519
7452,667577.3800831863,667577.3923879177,667580.7349067861
24748,2052348.2671757306,2052348.2804313137,2052351.8795864827
25242,1274432.8019094954,1274432.8155701323,1274436.5251006882
512,526191.5792673586,526191.5943149244,526195.6818505657
11408,2831985.2766401703,2831985.289035864,2831988.6545760985
8478,895084.048132289,895084.0622254785,895087.8896370807
17354,1629509.7511373686,1629509.764443899,1629513.3776098469
2536,11373900.906290011,11373900.917350547,11373903.92005512
22480,1136747.382876999,1136747.394682805,1136750.6008691613
18365,3446912.0262153433,3446912.0414224807,3446916.170060126
19921,930474.6475204343,930474.6625140945,930478.7342825318
12346,1319820.6200954937,1319820.6330069657,1319824.139142309
15155,6663712.442372837,6663712.453402014,6663715.4476871155
4711,1264366.6405203997,1264366.6543433378,1264370.4079382864
11758,602312.7295538671,602312.740578413,602315.7358614843
25670,1153328.3548885942,1153328.367365819,1153331.755785839
6246,1987242.2043751674,1987242.2155992766,1987245.2633267508
12387,3727221.0114417844,3727221.0236187773,3727224.3296666816
11527,2532279.5417033746,2532279.5559803955,2532283.4322778755
12067,10976019.390151154,10976019.401474336,10976022.475483239
10055,1492681.4058435296,1492681.4207137984,1492685.4584307468
9308,569639.9969936161,569640.0115389612,569643.9625681805
3034,6876397.6926993,6876397.704796011,6876400.988870396
20944,3214022.2912964122,3214022.3066717433,3214026.480995675
17418,22151094.474434912,22151094.485566102,22151097.507386476
15660,454091.02848564007,454091.04227681406,454094.78924793523
12409,570079.5823963576,570079.5938066649,570082.6939344669
