instance_id,rand_mean,rand_med,rand_max
13059,3496629.3655709657,3496629.37943325,3496633.1429945184
9662,7664287.456995989,7664287.468050495,7664290.469181989
23442,10674107.224277453,10674107.235804625,10674110.36519307
5143,4742707.889899641,4742707.9016529545,4742711.092603804
7017,10972522.793130165,10972522.805756686,10972526.233575817
14312,3225145.5625371104,3225145.574695108,3225148.8756476417
21499,1120144.018990604,1120144.0301592373,1120147.0634078986
20260,8787593.746530972,8787593.757630335,8787596.770913556
8561,6009404.991196524,6009405.003586499,6009408.367301696
17100,9325096.48383027,9325096.495158646,9325099.57060158
16039,13591305.571235321,13591305.582397677,13591308.612721907
2388,15731711.897681851,15731711.908883438,15731714.949841779
15804,5155986.213861353,5155986.224869316,5155989.213460733
19268,9185635.007967664,9185635.019072093,9185638.033723975
17419,7158022.585213406,7158022.596484132,7158025.656325624
2050,1234796.4315126878,1234796.4465796677,1234800.537885169
8307,993534.8020215714,993534.815684625,993538.5261861531
1052,2757876.9336544904,2757876.9490830316,2757881.1379212234
8872,2321361.31446901,2321361.3256317656,2321364.356596732
20765,1013198.672975249,1013198.6882804341,1013202.8444863894
13601,10267586.71763866,10267586.728838868,10267589.76947342
25030,2268130.929927969,2268130.9435996264,2268134.655633581
3882,1698030.255647289,1698030.2667958399,1698033.2941404502
22016,10054342.717940468,10054342.72927207,10054345.805579482
16945,1781353.344174086,1781353.3595756555,1781357.5413632996
15901,7244672.032397163,7244672.043423884,7244675.037023914
13367,10770519.47776763,10770519.488775548,10770522.477204382
16707,4233002.12537194,4233002.136508502,4233005.160072978
25852,721067.1751538067,721067.1905545383,721071.373240089
25346,3047860.1753293783,3047860.1872300627,3047863.418359285
19562,1646084.5198070803,1646084.5328902416,1646088.0854139337
24477,4501733.978035092,4501733.989551463,4501737.116198342
18537,10256244.780530596,10256244.791650405,10256247.81046046
19223,8204419.316001576,8204419.329451973,8204422.980968528
20188,8862420.675673077,8862420.686815567,8862423.711805254
11955,11315887.241806943,11315887.252907202,11315890.266395953
6662,3644726.6198789817,3644726.6317459554,3644729.8536450346
13540,5585690.594784057,5585690.606905057,5585693.897622523
10739,5855165.430664903,5855165.441739868,5855168.448485452
7576,593551.9006734097,593551.9145283469,593555.6780731495
15421,7477140.505541764,7477140.519790151,7477144.387948497
18993,7896128.738449045,7896128.750024067,7896131.892451187
4949,9546808.985675408,9546808.996823605,9546812.023350429
10673,13094998.230370635,13094998.241847001,13095001.357417667
13847,6351496.489250196,6351496.500602489,6351499.582612289
2443,2137185.8819042654,2137185.894659848,2137189.3580602314
1472,1467313.8426287028,1467313.8569754264,1467317.752594824
21998,12598209.474292465,12598209.485411521,12598212.503989758
2290,5272766.623586766,5272766.635878285,5272769.972900676
9469,1698719.2137151377,1698719.2261431117,1698722.600788834
136,4713175.234805689,4713175.246878963,4713178.524688925
4451,5579533.669107672,5579533.68230153,5579537.264259518
1129,7837064.9034884265,7837064.914497305,7837067.903238374
473,6659115.90172249,6659115.913721176,6659119.171192241
7371,11267905.619436985,11267905.630447067,11267908.619457088
2324,2604977.294519372,2604977.307460271,2604980.821044394
23289,2893060.759920637,2893060.7754724165,2893064.997741251
18919,4598314.505578372,4598314.5171477385,4598317.658173983
23766,6071363.38989084,6071363.400949772,6071366.403333688
9442,4921585.942348284,4921585.954160947,4921589.161212115
3847,789762.6793377604,789762.6935632556,789766.55709571
14000,7387033.100860477,7387033.112918167,7387036.386385094
1697,2093570.2863367954,2093570.3001232864,2093574.0433811797
9849,4719112.227521157,4719112.240167121,4719115.673439851
21845,9046992.676787231,9046992.691394027,9046996.656814547
9464,2384116.382720811,2384116.3953840397,2384119.8336447347
5067,4638293.0661586495,4638293.078287925,4638296.3713049395
3894,6785826.73667906,6785826.747818695,6785829.77208473
14299,5450939.109296643,5450939.121352518,5450942.39439726
10721,5307597.141551754,5307597.154094914,5307600.559426241
4837,5171847.870452179,5171847.881579937,5171850.90269029
8134,3562757.9220235725,3562757.9366351925,3562761.9036021265
1274,10585138.815091556,10585138.826338965,10585141.879783517
20091,20007962.168587822,20007962.180419326,20007965.392357375
10301,4144639.029382125,4144639.041649892,4144642.3722998593
17478,7980792.532057389,7980792.543538038,7980795.660344337
12227,7620230.753993554,7620230.765115527,7620233.784563351
5793,7779382.708995767,7779382.724413762,7779386.910070194
4053,3196357.0317138406,3196357.042766153,3196360.0435742983
24864,3220220.6373391934,3220220.648559734,3220223.6950316806
17036,6868116.152811575,6868116.16469703,6868119.391423512
26211,8783161.896194812,8783161.907430999,8783164.957857465
15545,1479966.958328989,1479966.9695907698,1479970.0278010292
23741,1472604.6930093607,1472604.7040463642,1472607.701245732
2011,3271541.64156713,3271541.6551828803,3271545.3518483574
4516,6369687.211452497,6369687.226632828,6369691.347811196
26075,5552685.934096516,5552685.945147779,5552688.945472819
4600,1688278.8616674887,1688278.8764190166,1688282.88179685
1833,3126689.905964074,3126689.91716203,3126692.9575170735
20993,3548485.9197369902,3548485.930751278,3548488.921191033
17896,2810029.3076983825,2810029.31893833,2810032.3707460277
7348,8730120.08244254,8730120.093727227,8730123.157320164
5593,11361840.219479294,11361840.232342562,11361843.724426404
20454,8690592.964217968,8690592.97522879,8690595.96447837
10952,3357427.8468057173,3357427.858243446,3357430.9636541633
23095,4273815.182197239,4273815.197703066,4273819.407346227
12784,8244207.6943253325,8244207.708714604,8244211.615100806
6649,9387014.748526627,9387014.759541912,9387017.7499908
4371,12798951.986552192,12798951.99782019,12798955.05682883
2360,930980.5831154976,930980.5954097717,930983.934471432
26466,5111878.214496498,5111878.226040263,5111881.360084534
12078,3589578.23404264,3589578.249610121,3589582.476050096
26023,1807491.3594828784,1807491.3705178425,1807494.3669756788
15498,1015000.086961829,1015000.1007257164,1015003.8385670894
8955,2563311.004617226,2563311.01669214,2563314.2952083824
26093,2183474.9533888763,2183474.9654176575,2183478.231510355
19862,2800919.658892906,2800919.672296497,2800923.311442859
14048,6026259.512777909,6026259.52487481,6026262.809031057
6889,1090880.6191719526,1090880.6337504582,1090884.5926131145
19332,5793673.546067846,5793673.559115309,5793677.101322978
15253,1645112.190368514,1645112.2030507405,1645115.6467413388
9434,2613357.066910637,2613357.0794694675,2613360.4893370126
22835,2545822.432971409,2545822.4484826233,2545826.6598040033
4567,6874225.428359332,6874225.440262686,6874228.671848226
1928,2265571.157781351,2265571.170257408,2265574.5577410194
7952,729584.8974952196,729584.9130163221,729589.1283507923
24834,1019653.6776384483,1019653.6894995673,1019656.9108489357
21065,4808013.578809376,4808013.594369341,4808017.818673323
22968,1329783.09529257,1329783.1064010398,1329786.1231088422
12622,1141306.9332882925,1141306.9450072804,1141310.1276221867
12311,652776.8690108168,652776.8836074553,652780.8482473623
8017,1000119.765893536,1000119.7777668966,1000123.00246732
11341,1109374.1671385397,1109374.1822424978,1109378.2837111503
23680,1575413.3938584458,1575413.40600933,1575416.705506242
24525,1174586.7959251113,1174586.8088471633,1174590.3179895403
19402,1070991.7816609216,1070991.7943997085,1070995.253915336
21722,1422052.3059953824,1422052.3193477069,1422055.9450723978
3658,1973436.856444149,1973436.8674948192,1973439.8681468004
3644,1736913.123452302,1736913.139021423,1736917.3663099806
8097,3923389.277406753,3923389.288923635,3923392.4157579555
13802,1838794.7639393243,1838794.7752217143,1838797.8388301928
2685,3537156.7077564565,3537156.722622852,3537160.7587535284
14083,177166.55409380223,177166.56970198924,177170.81446466825
25279,6323099.051308062,6323099.063068571,6323102.2558951415
3365,2281612.8939033095,2281612.9049156476,2281615.895059927
21447,599163.6734007885,599163.6868252882,599167.3335201505
